"X" "Trat." "plot" "block" "trat" "c" "male" "female" "concat" "DBP" "IVDMD" "CEL.LIG"
"128" 128 "BAGCE 21 x CNPGL 91-6-3" 165 "3" 5 "2" "1" "6" "16" 24.79 37.95 4.71
"129" 129 "BAGCE 30 x CNPGL 91-6-3" 117 "3" 14 "2" "2" "6" "26" 24.745 41.25 5.6
"130" 130 "CNPGL 91-6-3 x CNPGL 92-66-3" 139 "3" 42 "2" "6" "8" "68" 24.702 37.05 4.43
"136" 136 "CNPGL 91-6-3 x CNPGL 92-79-2" 43 "1" 43 "2" "6" "9" "69" 24.497 38 4.35
"142" 142 "BAGCE 37 x BAGCE 38" 66 "2" 20 "2" "3" "4" "34" 24.218 39.21 4.32
"144" 144 "BAGCE 37 x CNPGL 96-27-3" 75 "2" 26 "2" "3" "10" "310" 24.069 38.03 4.71
"145" 145 "BAGCE 21 x CNPGL 91-6-3" 5 "1" 5 "2" "1" "6" "16" 24.01 35.37 4.39
"146" 146 "BAGCE 37 x CNPGL 92-38-2" 27 "1" 27 "2" "3" "11" "311" 23.985 39.51 5.02
"151" 151 "CNPGL 92-66-3 x CNPGL 96-27-3" 109 "2" 51 "2" "8" "10" "810" 23.773 38.63 4.73
"152" 152 "BAGCE 30 x BAGCE 38" 12 "1" 12 "2" "2" "4" "24" 23.77 38.66 5.64
"157" 157 "CNPGL 92-198-7 x CNPGL 92-79-2" 115 "3" 47 "2" "7" "9" "79" 23.607 42.18 4.84
"162" 162 "BAGCE 37 x Pioneiro" 121 "3" 21 "2" "3" "5" "35" 23.123 40.11 5.51
"164" 164 "BAGCE 21 x BAGCE 37" 2 "1" 2 "2" "1" "3" "13" 23.024 31.93 4.4
"166" 166 "CNPGL 91-6-3 x CNPGL 96-27-3" 74 "2" 44 "2" "6" "10" "610" 22.991 40.13 5.07
"167" 167 "Pioneiro x CNPGL 92-66-3" 67 "2" 37 "2" "5" "8" "58" 22.918 42.16 4.61
"174" 174 "BAGCE 37 x CNPGL 92-198-7" 88 "2" 23 "2" "3" "7" "37" 22.473 40.79 5.15
"177" 177 "CNPGL 92-66-3 x CNPGL 92-79-2" 50 "1" 50 "2" "8" "9" "89" 22.376 38.17 4.3
"178" 178 "BAGCE 37 x CNPGL 92-79-2" 163 "3" 25 "2" "3" "9" "39" 22.342 40.51 5.26
"179" 179 "Pioneiro x CNPGL 92-198-7" 123 "3" 36 "2" "5" "7" "57" 22.274 42.32 5.06
"182" 182 "CNPGL 91-6-3 x CNPGL 92-66-3" 42 "1" 42 "2" "6" "8" "68" 22.148 38.82 4.21
"183" 183 "BAGCE 38 x CNPGL 96-27-3" 162 "3" 33 "2" "4" "10" "410" 22.11 39.3 4.56
"190" 190 "BAGCE 21 x CNPGL 92-66-3" 7 "1" 7 "2" "1" "8" "18" 21.827 43.11 4.82
"191" 191 "BAGCE 38 x Pioneiro" 71 "2" 28 "2" "4" "5" "45" 21.725 43.41 5.17
"192" 192 "CNPGL 92-198-7 x CNPGL 92-38-2" 49 "1" 49 "2" "7" "11" "711" 21.711 40.64 4.41
"193" 193 "CNPGL 91-6-3 x CNPGL 92-38-2" 155 "3" 45 "2" "6" "11" "611" 21.596 40.21 5.37
"194" 194 "BAGCE 21 x BAGCE 37" 166 "3" 2 "2" "1" "3" "13" 21.594 36.42 4.71
"197" 197 "BRS Canar  (CNPGL 92-66-3)" 56 "1" 56 "2" "8" "8" "88" 26.014 41.48 5.21
"199" 199 "BAGCE 30 x CNPGL 92-38-2" 69 "2" 19 "2" "2" "11" "211" 21.401 38.44 4.37
"203" 203 "CNPGL 92-66-3 x CNPGL 92-79-2" 97 "2" 50 "2" "8" "9" "89" 21.233 40.62 4.64
"209" 209 "BAGCE 37 x CNPGL 92-79-2" 92 "2" 25 "2" "3" "9" "39" 20.976 41.66 4.8
"210" 210 "CNPGL 92-198-7 x CNPGL 92-66-3" 46 "1" 46 "2" "7" "8" "78" 20.961 40.57 4.39
"211" 211 "BAGCE 38 x CNPGL 96-27-3" 33 "1" 33 "2" "4" "10" "410" 20.95 42.59 5.14
"212" 212 "BAGCE 37 x CNPGL 96-27-3" 128 "3" 26 "2" "3" "10" "310" 20.913 36.72 4.49
"213" 213 "BAGCE 30 x CNPGL 92-38-2" 19 "1" 19 "2" "2" "11" "211" 20.855 40.81 5.14
"216" 216 "BAGCE 21 x Pioneiro" 134 "3" 4 "2" "1" "5" "15" 20.714 39.07 5.49
"218" 218 "CNPGL 92-198-7 x CNPGL 92-38-2" 86 "2" 49 "2" "7" "11" "711" 20.669 43.93 5.57
"219" 219 "CNPGL 92-198-7 x CNPGL 92-66-3" 113 "3" 46 "2" "7" "8" "78" 20.582 40.82 4.8
"220" 220 "CNPGL 92-198-7 x CNPGL 96-27-3" 153 "3" 48 "2" "7" "10" "710" 20.519 34.98 4.19
"229" 229 "CNPGL 96-27-3 x CNPGL 92-38-2" 130 "3" 55 "2" "10" "11" "1011" 19.874 42.14 6.22
"233" 233 "CNPGL 92-66-3 x CNPGL 92-38-2" 52 "1" 52 "2" "8" "11" "811" 19.518 41.45 5.15
"234" 234 "BAGCE 30 x BAGCE 37" 150 "3" 11 "2" "2" "3" "23" 19.515 44.4 5.54
"235" 235 "Pioneiro x CNPGL 96-27-3" 120 "3" 39 "2" "5" "10" "510" 19.504 39.04 5.11
"237" 237 "CNPGL 92-79-2 x CNPGL 92-38-2" 54 "1" 54 "2" "9" "11" "911" 19.332 39.57 4.94
"238" 238 "CNPGL 92-79-2 x CNPGL 96-27-3" 53 "1" 53 "2" "9" "10" "910" 19.259 39.55 4.53
"239" 239 "BAGCE 30 x CNPGL 92-66-3" 159 "3" 16 "2" "2" "8" "28" 19.206 42.92 4.84
"240" 240 "BAGCE 30 x Pioneiro" 98 "2" 13 "2" "2" "5" "25" 19.147 39 4.91
"241" 241 "Pioneiro x CNPGL 96-27-3" 73 "2" 39 "2" "5" "10" "510" 19.102 37.69 4.95
"243" 243 "BAGCE 21 x CNPGL 92-79-2" 8 "1" 8 "2" "1" "9" "19" 19.016 37.55 4.77
"244" 244 "CNPGL 92-198-7 x CNPGL 92-79-2" 47 "1" 47 "2" "7" "9" "79" 18.971 39.03 4.19
"245" 245 "BAGCE 30 x CNPGL 92-198-7" 70 "2" 15 "2" "2" "7" "27" 18.949 40.05 4.84
"247" 247 "BAGCE 37 x CNPGL 96-27-3" 26 "1" 26 "2" "3" "10" "310" 18.837 40.73 4.99
"248" 248 "CNPGL 96-27-3 x CNPGL 92-38-2" 55 "1" 55 "2" "10" "11" "1011" 18.802 40.01 4.81
"250" 250 "BAGCE 37 x CNPGL 92-198-7" 125 "3" 23 "2" "3" "7" "37" 18.762 40.4 4.57
"251" 251 "BAGCE 37 x Pioneiro" 21 "1" 21 "2" "3" "5" "35" 18.586 39.55 5.44
"252" 252 "CNPGL 91-6-3 x CNPGL 92-79-2" 156 "3" 43 "2" "6" "9" "69" 18.448 38.08 4.5
"253" 253 "BRS Canar  (CNPGL 92-66-3)" 112 "2" 56 "2" "8" "8" "88" 20.053 37.07 4.63
"255" 255 "BAGCE 21 x BAGCE 37" 60 "2" 2 "2" "1" "3" "13" 18.358 36.84 4.55
"257" 257 "BAGCE 37 x BAGCE 38" 164 "3" 20 "2" "3" "4" "34" 18.272 37.03 4.82
"258" 258 "BAGCE 37 x BAGCE 38" 20 "1" 20 "2" "3" "4" "34" 18.108 38.95 4.86
"259" 259 "BAGCE 21 x BAGCE 30" 118 "3" 1 "2" "1" "2" "12" 18.075 41.65 6.14
"262" 262 "CNPGL 92-66-3 x CNPGL 92-38-2" 63 "2" 52 "2" "8" "11" "811" 17.769 38.74 4.66
"264" 264 "BAGCE 30 x BAGCE 37" 11 "1" 11 "2" "2" "3" "23" 17.609 33.6 4.3
"269" 269 "CNPGL 92-198-7 x CNPGL 96-27-3" 48 "1" 48 "2" "7" "10" "710" 17.373 44.21 5.11
"270" 270 "CNPGL 92-198-7 x CNPGL 92-38-2" 140 "3" 49 "2" "7" "11" "711" 17.176 42.24 4.93
"272" 272 "BAGCE 21 x BAGCE 38" 148 "3" 3 "2" "1" "4" "14" 16.798 42.18 5.88
"273" 273 "BAGCE 30 x BAGCE 37" 91 "2" 11 "2" "2" "3" "23" 16.77 35.57 4.53
"275" 275 "CNPGL 91-6-3 x CNPGL 92-198-7" 157 "3" 41 "2" "6" "7" "67" 16.643 39.4 4.86
"276" 276 "BAGCE 30 x CNPGL 92-198-7" 15 "1" 15 "2" "2" "7" "27" 16.404 41.31 4.65
"277" 277 "CNPGL 92-79-2 x CNPGL 96-27-3" 87 "2" 53 "2" "9" "10" "910" 16.373 40.79 4.61
"278" 278 "BAGCE 38 x CNPGL 91-6-3" 81 "2" 29 "2" "4" "6" "46" 16.364 39.22 4.54
"279" 279 "BAGCE 38 x CNPGL 92-66-3" 102 "2" 31 "2" "4" "8" "48" 16.208 40.8 4.6
"280" 280 "CNPGL 92-79-2 x CNPGL 92-38-2" 129 "3" 54 "2" "9" "11" "911" 16.054 39.7 4.97
"283" 283 "BAGCE 38 x CNPGL 92-79-2" 131 "3" 32 "2" "4" "9" "49" 15.671 41.04 4.71
"284" 284 "Pioneiro x CNPGL 96-27-3" 39 "1" 39 "2" "5" "10" "510" 15.607 36.83 4.25
"286" 286 "BAGCE 38 x Pioneiro" 28 "1" 28 "2" "4" "5" "45" 15.394 40.44 4.82
"288" 288 "BAGCE 37 x CNPGL 92-38-2" 57 "2" 27 "2" "3" "11" "311" 15.335 41.61 5.22
"290" 290 "BAGCE 21 x BAGCE 30" 1 "1" 1 "2" "1" "2" "12" 15.207 36.1 4.92
"291" 291 "BAGCE 21 x CNPGL 92-198-7" 94 "2" 6 "2" "1" "7" "17" 15.154 40.76 4.95
"294" 294 "BAGCE 38 x CNPGL 91-6-3" 147 "3" 29 "2" "4" "6" "46" 14.98 44.96 5.91
"295" 295 "BAGCE 30 x CNPGL 92-66-3" 90 "2" 16 "2" "2" "8" "28" 14.868 35.32 4.29
"296" 296 "CNPGL 91-6-3 x CNPGL 92-38-2" 45 "1" 45 "2" "6" "11" "611" 14.76 39.48 4.52
"297" 297 "CNPGL 92-66-3 x CNPGL 96-27-3" 51 "1" 51 "2" "8" "10" "810" 14.593 40.42 4.77
"298" 298 "Pioneiro x CNPGL 92-198-7" 58 "2" 36 "2" "5" "7" "57" 14.519 35.64 4.27
"300" 300 "BAGCE 38 x CNPGL 92-79-2" 32 "1" 32 "2" "4" "9" "49" 14.413 41.88 5.15
"301" 301 "CNPGL 91-6-3 x CNPGL 92-79-2" 78 "2" 43 "2" "6" "9" "69" 14.248 37.96 4.28
"302" 302 "BAGCE 30 x CNPGL 92-66-3" 16 "1" 16 "2" "2" "8" "28" 14.203 35.36 4.27
"306" 306 "CNPGL 91-6-3 x CNPGL 92-198-7" 41 "1" 41 "2" "6" "7" "67" 13.61 38.12 4.58
"307" 307 "Pioneiro x CNPGL 92-66-3" 37 "1" 37 "2" "5" "8" "58" 13.537 38.2 4.7
"308" 308 "BAGCE 21 x CNPGL 92-198-7" 136 "3" 6 "2" "1" "7" "17" 13.537 40.05 4.92
"309" 309 "BRS Canar  (CNPGL 92-66-3)" 168 "3" 56 "2" "8" "8" "88" 30.488 44.23 5.05
"311" 311 "Pioneiro x CNPGL 92-66-3" 144 "3" 37 "2" "5" "8" "58" 13.092 40.15 5.12
"312" 312 "BAGCE 37 x CNPGL 91-6-3" 149 "3" 22 "2" "3" "6" "36" 12.925 42.5 6.01
"313" 313 "BAGCE 30 x CNPGL 92-27-3" 100 "2" 18 "2" "2" "10" "210" 12.902 42.45 4.85
"314" 314 "BAGCE 21 x CNPGL 96-27-3" 9 "1" 9 "2" "1" "10" "110" 12.726 40.2 4.87
"315" 315 "Pioneiro x CNPGL 92-38-2" 141 "3" 40 "2" "5" "11" "511" 12.403 38.85 4.79
"316" 316 "CNPGL 92-198-7 x CNPGL 96-27-3" 68 "2" 48 "2" "7" "10" "710" 12.346 41.46 4.8
"318" 318 "CNPGL 91-6-3 x CNPGL 92-66-3" 65 "2" 42 "2" "6" "8" "68" 11.749 40.17 4.73
"319" 319 "BAGCE 38 x CNPGL 92-38-2" 133 "3" 34 "2" "4" "11" "411" 11.658 41.18 5.85
"320" 320 "CNPGL 91-6-3 x CNPGL 92-198-7" 62 "2" 41 "2" "6" "7" "67" 11.648 43.38 4.84
"321" 321 "BAGCE 37 x CNPGL 92-198-7" 23 "1" 23 "2" "3" "7" "37" 11.314 45.19 5.24
"322" 322 "CNPGL 92-79-2 x CNPGL 92-38-2" 107 "2" 54 "2" "9" "11" "911" 11.191 38.05 4.78
"324" 324 "BAGCE 30 x CNPGL 92-27-3" 154 "3" 18 "2" "2" "10" "210" 10.973 41.1 5.08
"325" 325 "BAGCE 38 x CNPGL 92-66-3" 31 "1" 31 "2" "4" "8" "48" 10.636 38.67 4.44
"326" 326 "BAGCE 38 x CNPGL 92-38-2" 34 "1" 34 "2" "4" "11" "411" 10.582 44 5.37
"328" 328 "BAGCE 30 x Pioneiro" 124 "3" 13 "2" "2" "5" "25" 10.342 37.92 4.68
"329" 329 "BAGCE 38 x CNPGL 92-79-2" 76 "2" 32 "2" "4" "9" "49" 9.727 40.22 5.51
"330" 330 "BAGCE 30 x CNPGL 92-27-3" 18 "1" 18 "2" "2" "10" "210" 9.662 38.26 4.36
"331" 331 "BAGCE 38 x CNPGL 91-6-3" 29 "1" 29 "2" "4" "6" "46" 9.633 41.21 5.25
"332" 332 "BAGCE 38 x CNPGL 92-38-2" 105 "2" 34 "2" "4" "11" "411" 8.815 43.6 6.39
"333" 333 "BAGCE 37 x CNPGL 91-6-3" 22 "1" 22 "2" "3" "6" "36" 8.803 38.03 4.99
"334" 334 "BAGCE 37 x CNPGL 91-6-3" 84 "2" 22 "2" "3" "6" "36" 7.202 42.43 5.67
"335" 335 "BAGCE 30 x Pioneiro" 13 "1" 13 "2" "2" "5" "25" 5.626 40.04 5.22
"336" 336 "BAGCE 21 x CNPGL 92-198-7" 6 "1" 6 "2" "1" "7" "17" 1.409 38.88 4.26
