"X" "Trat." "plot" "block" "trat" "c" "male" "female" "concat" "DBP" "IVDMD" "CEL.LIG"
"90" 90 "BAGCE 38 x CNPGL 92-66-3" 126 "3" 31 "1" "4" "8" "48" 26.59 34.57 4.3
"91" 91 "CNPGL 92-79-2 x CNPGL 96-27-3" 114 "3" 53 "1" "9" "10" "910" 26.527 39.14 4.69
"93" 93 "CNPGL 91-6-3 x CNPGL 92-198-7" 157 "3" 41 "1" "6" "7" "67" 26.398 34.29 3.79
"94" 94 "BAGCE 37 x CNPGL 91-6-3" 22 "1" 22 "1" "3" "6" "36" 26.375 41.72 4.2
"95" 95 "BAGCE 21 x CNPGL 91-6-3" 165 "3" 5 "1" "1" "6" "16" 26.322 33.78 4.01
"96" 96 "Pioneiro x CNPGL 92-198-7" 123 "3" 36 "1" "5" "7" "57" 26.224 32.64 3.99
"99" 99 "CNPGL 92-79-2 x CNPGL 92-38-2" 54 "1" 54 "1" "9" "11" "911" 26.142 48.41 4.54
"101" 101 "CNPGL 92-66-3 x CNPGL 96-27-3" 127 "3" 51 "1" "8" "10" "810" 26.102 30.87 4.68
"102" 102 "CNPGL 92-198-7 x CNPGL 92-79-2" 115 "3" 47 "1" "7" "9" "79" 25.822 37.74 4.63
"105" 105 "BAGCE 30 x CNPGL 91-6-3" 77 "2" 14 "1" "2" "6" "26" 25.72 30.95 4.35
"108" 108 "BAGCE 21 x Pioneiro" 4 "1" 4 "1" "1" "5" "15" 25.615 40.52 3.91
"111" 111 "CNPGL 91-6-3 x CNPGL 96-27-3" 44 "1" 44 "1" "6" "10" "610" 25.521 43.45 4.5
"112" 112 "BAGCE 30 x CNPGL 92-38-2" 69 "2" 19 "1" "2" "11" "211" 25.47 27.16 4.27
"113" 113 "BAGCE 21 x CNPGL 92-79-2" 8 "1" 8 "1" "1" "9" "19" 25.361 49.2 4.9
"114" 114 "CNPGL 91-6-3 x CNPGL 92-66-3" 65 "2" 42 "1" "6" "8" "68" 25.305 28.2 4.46
"115" 115 "BAGCE 37 x CNPGL 92-66-3" 106 "2" 24 "1" "3" "8" "38" 25.277 30.9 4.35
"116" 116 "CNPGL 91-6-3 x CNPGL 92-79-2" 156 "3" 43 "1" "6" "9" "69" 25.274 37.36 4.41
"118" 118 "CNPGL 92-79-2 x CNPGL 96-27-3" 53 "1" 53 "1" "9" "10" "910" 25.156 45.78 4.11
"121" 121 "BAGCE 30 x BAGCE 37" 150 "3" 11 "1" "2" "3" "23" 25.079 33.16 4.14
"122" 122 "CNPGL 92-66-3 x CNPGL 92-38-2" 63 "2" 52 "1" "8" "11" "811" 25.069 38.32 5.5
"123" 123 "Pioneiro x CNPGL 91-6-3" 152 "3" 35 "1" "5" "6" "56" 24.976 33.22 4.58
"131" 131 "BAGCE 30 x BAGCE 37" 11 "1" 11 "1" "2" "3" "23" 24.664 48.82 4.9
"132" 132 "Pioneiro x CNPGL 96-27-3" 73 "2" 39 "1" "5" "10" "510" 24.588 26.42 4.07
"133" 133 "CNPGL 91-6-3 x CNPGL 96-27-3" 167 "3" 44 "1" "6" "10" "610" 24.563 32.28 3.94
"134" 134 "BAGCE 37 x CNPGL 92-198-7" 23 "1" 23 "1" "3" "7" "37" 24.518 43.94 4.11
"135" 135 "BAGCE 21 x BAGCE 37" 2 "1" 2 "1" "1" "3" "13" 24.513 45.31 3.93
"137" 137 "BAGCE 38 x CNPGL 91-6-3" 81 "2" 29 "1" "4" "6" "46" 24.435 37.14 4.66
"138" 138 "CNPGL 91-6-3 x CNPGL 92-66-3" 139 "3" 42 "1" "6" "8" "68" 24.246 32.36 4.46
"139" 139 "BAGCE 30 x BAGCE 38" 143 "3" 12 "1" "2" "4" "24" 24.239 33.73 5.51
"140" 140 "CNPGL 92-198-7 x CNPGL 96-27-3" 48 "1" 48 "1" "7" "10" "710" 24.231 52.24 5.22
"141" 141 "BRS Canar  (CNPGL 92-66-3)" 168 "3" 56 "1" "8" "8" "88" 24.907 31.44 3.53
"143" 143 "CNPGL 92-198-7 x CNPGL 92-79-2" 47 "1" 47 "1" "7" "9" "79" 24.147 49.29 5.37
"147" 147 "BAGCE 38 x CNPGL 92-198-7" 132 "3" 30 "1" "4" "7" "47" 23.977 35.92 4.92
"148" 148 "BAGCE 21 x CNPGL 92-66-3" 110 "2" 7 "1" "1" "8" "18" 23.951 34.83 4.96
"149" 149 "CNPGL 92-198-7 x CNPGL 92-66-3" 46 "1" 46 "1" "7" "8" "78" 23.817 46.39 4.45
"150" 150 "Pioneiro x CNPGL 91-6-3" 35 "1" 35 "1" "5" "6" "56" 23.783 45.65 5.08
"153" 153 "BAGCE 30 x CNPGL 92-66-3" 16 "1" 16 "1" "2" "8" "28" 23.768 43.39 4.98
"154" 154 "BAGCE 21 x CNPGL 96-27-3" 9 "1" 9 "1" "1" "10" "110" 23.683 46.28 4.65
"155" 155 "BAGCE 38 x Pioneiro" 71 "2" 28 "1" "4" "5" "45" 23.662 30.24 4.59
